d,n1,Pb
112.0,1700.0,68.0
118.0,1700.0,1727.0
132.0,1700.0,69.0
140.0,1700.0,1753.0
112.0,70.0,1778.0
118.0,70.0,71.0
132.0,70.0,1798.0
140.0,70.0,72.0
112.0,1829.0,73.0
118.0,1829.0,1854.0
132.0,1829.0,74.0
140.0,1829.0,1879.0
112.0,75.0,1900.0
118.0,75.0,76.0
132.0,75.0,1930.0
140.0,75.0,77.0
112.0,1955.0,78.0
118.0,1955.0,1978.0
132.0,1955.0,79.0
140.0,1955.0,2005.0
112.0,80.0,2032.0
118.0,80.0,81.0
132.0,80.0,2057.0
140.0,80.0,82.0
112.0,2080.0,83.0
118.0,2080.0,2108.0
132.0,2080.0,83.0
140.0,2080.0,1.0
112.0,2.0,2121.0
118.0,2.0,84.0
132.0,2.0,2134.0
140.0,2.0,85.0
112.0,2159.0,86.0
118.0,2159.0,2184.0
132.0,2159.0,87.0
140.0,2159.0,2208.0
112.0,88.0,2235.0
118.0,88.0,89.0
132.0,88.0,2261.0
140.0,88.0,90.0
112.0,2286.0,92.0
118.0,2286.0,2337.0
132.0,2286.0,93.0
140.0,2286.0,2360.0
112.0,94.0,2388.0
118.0,94.0,95.0
132.0,94.0,2413.0
140.0,94.0,96.0
112.0,2438.0,96.0
118.0,2438.0,1.0
132.0,2438.0,2.0
140.0,2438.0,2450.0
112.0,97.0,2462.0
118.0,97.0,97.0
132.0,97.0,1.0
140.0,97.0,2.0
112.0,2477.0,98.0
118.0,2477.0,2500.0
132.0,2477.0,99.0
140.0,2477.0,2525.0
112.0,100.0,2540.0
118.0,100.0,101.0
132.0,100.0,2560.0
140.0,100.0,102.0
112.0,2591.0,104.0
118.0,2591.0,2642.0
132.0,2591.0,105.0
140.0,2591.0,2667.0
112.0,106.0,2692.0
118.0,106.0,108.0
132.0,106.0,2750.0
140.0,106.0,110.0
112.0,2800.0,111.0
118.0,2800.0,2818.0
132.0,2800.0,112.0
140.0,2800.0,2845.0
112.0,112.0,1.0
118.0,112.0,2.0
132.0,112.0,2858.0
140.0,112.0,114.0
112.0,2888.0,115.0
118.0,2888.0,2921.0
132.0,2888.0,116.0
140.0,2888.0,2950.0
112.0,117.0,2965.0
118.0,117.0,118.0
132.0,117.0,3000.0
140.0,117.0,120.0
112.0,3048.0,122.0
118.0,3048.0,3099.0
132.0,3048.0,124.0
140.0,3048.0,3150.0
112.0,126.0,3200.0
118.0,126.0,128.0
132.0,126.0,3250.0
140.0,126.0,130.0
112.0,3302.0,132.0
118.0,3302.0,3350.0
132.0,3302.0,134.0
140.0,3302.0,3404.0
112.0,136.0,3456.0
118.0,136.0,138.0
132.0,136.0,3498.0
140.0,136.0,140.0
112.0,3550.0,142.0
118.0,3550.0,3607.0
132.0,3550.0,144.0
140.0,3550.0,3658.0
112.0,147.0,3733.0
118.0,147.0,148.0
132.0,147.0,3750.0
140.0,147.0,150.0
112.0,3808.0,153.0
118.0,3808.0,3902.0
132.0,3808.0,158.0
140.0,3808.0,4000.0
112.0,160.0,4064.0
118.0,160.0,161.0
132.0,160.0,1.0
140.0,160.0,2.0
112.0,4100.0,162.0
118.0,4100.0,4115.0
132.0,4100.0,165.0
140.0,4100.0,4193.0
112.0,166.0,4216.0
118.0,166.0,167.0
132.0,166.0,4242.0
140.0,166.0,168.0
112.0,4267.0,170.0
118.0,4267.0,4318.0
132.0,4267.0,173.0
140.0,4267.0,4394.0
112.0,175.0,4445.0
118.0,175.0,177.0
132.0,175.0,4500.0
140.0,175.0,180.0
112.0,4572.0,187.0
118.0,4572.0,4750.0
132.0,4572.0,190.0
140.0,4572.0,4826.0
112.0,195.0,4953.0
118.0,195.0,197.0
132.0,195.0,5000.0
140.0,195.0,204.0
112.0,5182.0,208.0
118.0,5182.0,5300.0
132.0,5182.0,210.0
140.0,5182.0,5334.0
112.0,216.0,5486.0
118.0,216.0,220.0
132.0,216.0,5550.0
140.0,216.0,222.0
112.0,5600.0,225.0
118.0,5600.0,5678.0
132.0,5600.0,228.0
140.0,5600.0,5753.0
